path,full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
data/annotated/test/click/01-220217_1120_Ch4_click_1.wav,5.75,5.75,2,333.3,0.117,2e-05,827.28,565.05,173.91,0.52,click
data/annotated/test/click/01-220217_1120_Ch4_click_10.wav,4.06,4.06,1,285.7,-0.187,1e-05,827.0,473.66,246.15,0.37,click
data/annotated/test/click/01-220217_1120_Ch4_click_100.wav,1.17,2.0,1,0.0,0.0,1e-05,1233.79,425.41,857.14,0.97,click
data/annotated/test/click/01-220217_1120_Ch4_click_101.wav,1.28,2.0,1,0.0,0.0,2e-05,1018.14,359.17,780.49,0.73,click
data/annotated/test/click/01-220217_1120_Ch4_click_102.wav,1.0,2.0,1,0.0,0.0,1e-05,1135.98,342.77,1000.0,0.31,click
data/annotated/test/click/01-220217_1120_Ch4_click_103.wav,1.7,2.0,1,0.0,0.0,1e-05,1115.71,525.51,588.96,0.8,click
data/annotated/test/click/01-220217_1120_Ch4_click_104.wav,0.65,2.0,1,0.0,0.0,3e-05,1548.39,0.0,1548.39,1.0,click
data/annotated/test/click/01-220217_1120_Ch4_click_105.wav,1.31,2.0,1,0.0,0.0,1e-05,1003.57,354.57,761.9,0.76,click
data/annotated/test/click/01-220217_1120_Ch4_click_106.wav,1.1,2.0,0,0.0,0.0,0.0,1358.49,452.83,905.66,0.0,click
data/annotated/test/click/01-220217_1120_Ch4_click_107.wav,0.72,2.0,1,0.0,0.0,0.0,1391.3,0.0,1391.3,1.0,click
data/annotated/test/click/01-220217_1120_Ch4_click_108.wav,2.9,2.9,1,0.0,0.0,1e-05,718.34,460.85,345.32,0.34,click
data/annotated/test/click/01-220217_1120_Ch4_click_11.wav,3.04,3.04,1,400.0,-0.316,2e-05,884.74,477.28,328.77,0.53,click
data/annotated/test/click/01-220217_1120_Ch4_click_12.wav,2.04,2.04,1,0.0,0.0,1e-05,1100.14,560.22,979.59,0.64,click
data/annotated/test/click/01-220217_1120_Ch4_click_13.wav,2.72,2.72,1,0.0,0.0,1e-05,744.06,379.72,367.82,0.29,click
data/annotated/test/click/01-220217_1120_Ch4_click_14.wav,2.72,2.72,1,0.0,0.0,2e-05,702.23,448.87,367.82,0.27,click
data/annotated/test/click/01-220217_1120_Ch4_click_15.wav,2.17,2.17,1,0.0,0.0,1e-05,801.13,505.33,461.54,0.25,click
data/annotated/test/click/01-220217_1120_Ch4_click_16.wav,0.8,2.0,1,0.0,0.0,1e-05,1246.75,0.0,1246.75,1.0,click
data/annotated/test/click/01-220217_1120_Ch4_click_17.wav,1.45,2.0,1,0.0,0.0,0.0,866.45,300.85,690.65,0.61,click
data/annotated/test/click/01-220217_1120_Ch4_click_18.wav,1.28,2.0,1,0.0,0.0,1e-05,910.55,290.85,780.49,0.38,click
data/annotated/test/click/01-220217_1120_Ch4_click_19.wav,1.45,2.0,1,0.0,0.0,1e-05,943.11,332.6,690.65,0.87,click
data/annotated/test/click/01-220217_1120_Ch4_click_2.wav,7.68,7.68,2,166.7,0.148,1e-05,819.93,523.68,521.03,0.57,click
data/annotated/test/click/01-220217_1120_Ch4_click_20.wav,2.41,2.41,1,0.0,0.0,1e-05,979.52,456.89,415.58,0.96,click
data/annotated/test/click/01-220217_1120_Ch4_click_21.wav,1.21,2.0,1,0.0,0.0,0.0,1104.2,390.39,827.59,0.8,click
data/annotated/test/click/01-220217_1120_Ch4_click_22.wav,1.45,2.0,1,0.0,0.0,1e-05,856.83,295.22,690.65,0.58,click
