true,width_ms,pred,frac
vocal,2.5,click,1.0
vocal,5.0,click,1.0
vocal,10.0,click,1.0
vocal,25.0,click,0.6363636363636364
vocal,25.0,water,0.36363636363636365
vocal,50.0,vocal,0.7272727272727273
vocal,50.0,click,0.18181818181818182
vocal,50.0,water,0.09090909090909091
vocal,100.0,vocal,0.9090909090909091
vocal,100.0,water,0.09090909090909091
vocal,200.0,other,0.9090909090909091
vocal,200.0,vocal,0.09090909090909091
click,2.5,click,1.0
click,5.0,click,1.0
click,10.0,click,1.0
click,25.0,click,0.8166666666666667
click,25.0,water,0.18333333333333332
click,50.0,vocal,0.9083333333333333
click,50.0,water,0.05
click,50.0,click,0.041666666666666664
click,100.0,vocal,0.475
click,100.0,other,0.5166666666666667
click,100.0,click,0.008333333333333333
click,200.0,other,1.0
