full_duration_ms,sound_duration_ms,n_pulses,pulse_rate_hz,pulse_strength,rms,centroid_hz,bandwidth_hz,dominant_hz,flatness,class
74988.07,74980.7,431,400.0,0.486,0.00012,843.6,583.16,50.05,0.06,other
1284.32,1284.15,275,50.0,0.593,0.0001,974.7,567.33,50.62,0.12,other
1546.29,565.61,22,400.0,0.606,0.00074,1098.56,501.28,813.27,0.39,other
86974.29,85398.95,140,400.0,0.808,0.00015,707.52,587.85,50.01,0.04,other
681.96,681.96,136,50.0,0.402,0.0001,631.54,553.39,51.32,0.04,silence
689.32,689.32,142,50.0,0.391,0.00011,536.89,514.93,50.77,0.03,silence
629.59,629.59,130,50.0,0.618,0.0001,693.12,563.35,50.83,0.03,silence
657.88,657.88,137,50.0,0.643,0.0001,653.15,562.75,50.16,0.02,silence
637.57,637.57,132,50.0,0.575,0.0001,643.95,572.22,50.19,0.02,silence
667.74,667.74,145,50.0,0.678,0.00012,696.62,571.8,50.92,0.02,silence
629.56,629.56,136,50.0,0.666,0.00012,675.64,568.19,50.83,0.02,silence
660.24,621.34,10,400.0,0.936,0.00023,407.07,485.67,106.22,0.01,silence
691.83,687.22,39,400.0,0.897,0.00021,330.42,419.36,104.77,0.01,silence
689.67,689.33,94,400.0,0.553,0.00012,495.64,519.79,50.77,0.02,silence
648.92,648.92,140,50.0,0.485,0.0001,553.05,535.75,50.85,0.03,silence
736.64,736.64,74,400.0,0.595,0.00015,398.18,461.08,50.23,0.01,silence
661.99,654.45,50,400.0,0.79,0.00016,338.53,400.92,50.42,0.01,silence
688.89,688.89,35,400.0,0.744,0.00016,496.08,516.37,50.81,0.02,silence
977.7,977.7,231,50.0,0.586,9e-05,664.49,568.62,50.12,0.02,silence
5833.81,5833.81,1234,50.0,0.808,0.00011,795.16,592.66,50.05,0.01,silence
1867.99,1867.95,398,50.0,0.768,0.00012,759.07,587.06,50.32,0.02,silence
1490.29,1490.29,324,50.0,0.611,0.0001,730.23,584.55,50.33,0.02,silence
3486.69,3486.69,740,50.0,0.796,8e-05,802.49,579.34,50.19,0.03,silence
8531.65,8531.65,1763,50.0,0.783,9e-05,785.91,591.12,50.05,0.01,silence
618.91,618.6,10,400.0,0.496,0.00011,473.91,449.92,50.11,0.02,vocal
716.95,716.95,153,50.0,0.367,0.0001,569.2,552.92,50.21,0.02,vocal
715.53,713.84,134,400.0,0.687,0.00011,521.95,556.47,50.43,0.02,vocal
678.44,678.11,124,50.0,0.431,0.0001,575.17,553.61,50.14,0.03,vocal
656.83,656.83,120,50.0,0.368,0.00011,643.74,579.73,50.24,0.02,vocal
644.61,644.57,133,50.0,0.625,0.00011,645.95,565.55,51.2,0.03,vocal
648.22,648.22,136,50.0,0.572,0.00011,616.02,563.15,50.91,0.03,vocal
665.97,665.97,139,50.0,0.567,0.00011,606.87,558.95,51.05,0.03,vocal
