true,width_ms,pred,frac
vocal,2.5,click,1.0
vocal,2.5,other,0.0
vocal,2.5,silence,0.0
vocal,2.5,vocal,0.0
vocal,2.5,water,0.0
vocal,5.0,click,1.0
vocal,5.0,other,0.0
vocal,5.0,silence,0.0
vocal,5.0,vocal,0.0
vocal,5.0,water,0.0
vocal,10.0,click,1.0
vocal,10.0,other,0.0
vocal,10.0,silence,0.0
vocal,10.0,vocal,0.0
vocal,10.0,water,0.0
vocal,25.0,click,0.38333333333333336
vocal,25.0,other,0.0
vocal,25.0,silence,0.0
vocal,25.0,vocal,0.20833333333333334
vocal,25.0,water,0.4083333333333333
vocal,50.0,click,0.03333333333333333
vocal,50.0,other,0.0
vocal,50.0,silence,0.0
vocal,50.0,vocal,0.7583333333333333
vocal,50.0,water,0.20833333333333334
vocal,100.0,click,0.025
vocal,100.0,other,0.008333333333333333
vocal,100.0,silence,0.0
vocal,100.0,vocal,0.8916666666666667
vocal,100.0,water,0.075
vocal,200.0,click,0.025
vocal,200.0,other,0.08333333333333333
vocal,200.0,silence,0.0
vocal,200.0,vocal,0.8166666666666667
vocal,200.0,water,0.075
click,2.5,click,1.0
click,2.5,other,0.0
click,2.5,silence,0.0
click,2.5,vocal,0.0
click,2.5,water,0.0
click,5.0,click,1.0
click,5.0,other,0.0
click,5.0,silence,0.0
click,5.0,vocal,0.0
click,5.0,water,0.0
click,10.0,click,1.0
click,10.0,other,0.0
click,10.0,silence,0.0
click,10.0,vocal,0.0
click,10.0,water,0.0
click,25.0,click,1.0
click,25.0,other,0.0
click,25.0,silence,0.0
click,25.0,vocal,0.0
click,25.0,water,0.0
click,50.0,click,1.0
click,50.0,other,0.0
click,50.0,silence,0.0
click,50.0,vocal,0.0
click,50.0,water,0.0
click,100.0,click,1.0
click,100.0,other,0.0
click,100.0,silence,0.0
click,100.0,vocal,0.0
click,100.0,water,0.0
click,200.0,click,1.0
click,200.0,other,0.0
click,200.0,silence,0.0
click,200.0,vocal,0.0
click,200.0,water,0.0
water,2.5,click,1.0
water,2.5,other,0.0
water,2.5,silence,0.0
water,2.5,vocal,0.0
water,2.5,water,0.0
water,5.0,click,1.0
water,5.0,other,0.0
water,5.0,silence,0.0
water,5.0,vocal,0.0
water,5.0,water,0.0
water,10.0,click,1.0
water,10.0,other,0.0
water,10.0,silence,0.0
water,10.0,vocal,0.0
water,10.0,water,0.0
water,25.0,click,0.14166666666666666
water,25.0,other,0.0
water,25.0,silence,0.0
water,25.0,vocal,0.0
water,25.0,water,0.8583333333333333
water,50.0,click,0.025
water,50.0,other,0.0
water,50.0,silence,0.0
water,50.0,vocal,0.025
water,50.0,water,0.95
water,100.0,click,0.025
water,100.0,other,0.09166666666666666
water,100.0,silence,0.0
water,100.0,vocal,0.1
water,100.0,water,0.7833333333333333
water,200.0,click,0.025
water,200.0,other,0.26666666666666666
water,200.0,silence,0.0
water,200.0,vocal,0.016666666666666666
water,200.0,water,0.6916666666666667
other,2.5,click,1.0
other,2.5,other,0.0
other,2.5,silence,0.0
other,2.5,vocal,0.0
other,2.5,water,0.0
other,5.0,click,1.0
other,5.0,other,0.0
other,5.0,silence,0.0
other,5.0,vocal,0.0
other,5.0,water,0.0
other,10.0,click,1.0
other,10.0,other,0.0
other,10.0,silence,0.0
other,10.0,vocal,0.0
other,10.0,water,0.0
other,25.0,click,0.3416666666666667
other,25.0,other,0.0
other,25.0,silence,0.0
other,25.0,vocal,0.0
other,25.0,water,0.6583333333333333
other,50.0,click,0.23333333333333334
other,50.0,other,0.016666666666666666
other,50.0,silence,0.0
other,50.0,vocal,0.20833333333333334
other,50.0,water,0.5416666666666666
other,100.0,click,0.19166666666666668
other,100.0,other,0.19166666666666668
other,100.0,silence,0.0
other,100.0,vocal,0.4083333333333333
other,100.0,water,0.20833333333333334
other,200.0,click,0.16666666666666666
other,200.0,other,0.625
other,200.0,silence,0.0
other,200.0,vocal,0.09166666666666666
other,200.0,water,0.11666666666666667
