start_s,end_s,duration_s,class,confidence
0.0,0.005,0.005,click,0.8834
59.59,59.595,0.005,click,0.8212
89.03,89.035,0.005,click,0.7335
90.57,90.575,0.005,click,0.8149
99.2,99.205,0.005,click,0.8443
178.33,178.335,0.005,click,0.8334
226.495,226.5,0.005,click,0.5465
299.405,299.42,0.015,click,0.5963
300.345,300.35,0.005,click,0.8264
345.47,345.475,0.005,click,0.8607
438.09,438.095,0.005,click,0.8539
483.155,483.16,0.005,click,0.8887
527.075,527.08,0.005,click,0.8336
547.2,547.205,0.005,click,0.7435
576.135,576.14,0.005,click,0.8451
590.035,590.04,0.005,water,0.5161
624.76,624.765,0.005,click,0.8176
675.835,675.84,0.005,click,0.8104
706.86,706.865,0.005,click,0.5449
726.15,726.155,0.005,click,0.8359
825.73,825.735,0.005,click,0.847
837.79,837.795,0.005,click,0.8763
850.225,850.23,0.005,click,0.7653
971.28,971.285,0.005,click,0.8926
973.415,973.42,0.005,click,0.5506
1067.16,1067.165,0.005,click,0.8069
1075.615,1075.62,0.005,click,0.86
1076.515,1076.52,0.005,click,0.8979
1089.145,1089.15,0.005,click,0.7718
1157.725,1157.73,0.005,click,0.8531
1157.74,1157.745,0.005,click,0.8973
1178.47,1178.475,0.005,click,0.8632
1178.485,1178.49,0.005,click,0.8741
1180.92,1180.925,0.005,click,0.8862
1184.0,1184.005,0.005,click,0.8101
1195.855,1195.86,0.005,click,0.8196
1195.87,1195.875,0.005,click,0.8897
1208.1,1208.105,0.005,click,0.832
1255.905,1255.91,0.005,click,0.8171
1304.065,1304.07,0.005,click,0.8369
1311.38,1311.385,0.005,click,0.6995
1374.77,1374.775,0.005,click,0.8268
1401.625,1401.63,0.005,click,0.8172
1495.5,1495.505,0.005,click,0.6436
1518.41,1518.415,0.005,click,0.8995
1608.8,1608.805,0.005,click,0.7096
1614.015,1614.02,0.005,click,0.676
1614.08,1614.095,0.015,water,0.8946
1614.13,1614.145,0.015,water,0.9346
1614.19,1614.195,0.005,click,0.7945
1614.26,1614.28,0.02,water,0.9462
1614.325,1614.33,0.005,click,0.8402
1614.385,1614.39,0.005,click,0.691
1614.455,1614.47,0.015,water,0.9077
1614.52,1614.525,0.005,click,0.7367
1614.535,1614.54,0.005,click,0.7557
1614.595,1614.605,0.01,water,0.8728
1614.635,1614.64,0.005,click,0.677
1614.665,1614.675,0.01,water,0.7956
1614.715,1614.735,0.02,water,0.9722
1614.775,1614.805,0.03,water,0.9882
1614.84,1614.845,0.005,click,0.436
1614.855,1614.86,0.005,click,0.7693
1614.89,1614.925,0.035,water,0.9922
1654.52,1654.525,0.005,click,0.7189
1673.3,1673.305,0.005,click,0.5925
1704.47,1704.475,0.005,click,0.7473
1752.85,1752.855,0.005,click,0.7807
1777.98,1777.985,0.005,click,0.651
1806.93,1806.935,0.005,click,0.6801
1812.29,1812.295,0.005,click,0.6669
1813.44,1813.445,0.005,click,0.8287
1815.215,1815.225,0.01,water,0.8344
1819.075,1819.095,0.02,water,0.5435
1819.105,1819.12,0.015,water,0.5443
1819.13,1819.135,0.005,click,0.8644
