start_s,end_s,label
4.086,7.984,silence
16.694,19.086,silence
669.854,669.855,click
672.138,672.141,click
683.359,683.36,click
683.794,683.797,click
684.913,684.915,click
686.793,686.794,click
687.281,687.283,click
687.61,687.611,click
688.105,688.108,click
688.323,688.327,click
688.778,688.779,click
688.793,688.794,click
689.903,689.906,click
691.62,691.621,click
707.563,707.566,click
708.1,708.102,click
713.335,713.336,click
714.164,714.165,click
719.268,719.268,click
720.294,720.295,click
725.121,725.123,click
735.118,735.119,click
741.528,741.529,click
742.985,742.988,click
749.542,749.544,click
755.594,755.669,vocal
756.925,756.926,click
760.773,760.775,click
768.016,768.017,click
769.038,769.04,click
776.807,776.808,click
778.733,778.735,click
778.86,778.861,click
780.128,780.13,click
790.721,790.722,click
790.735,790.736,click
796.669,796.671,click
796.873,796.877,click
800.851,800.852,click
806.036,806.038,click
810.401,810.403,click
814.611,814.613,click
822.983,822.984,click
824.544,824.545,click
832.699,832.702,click
841.604,841.606,click
845.202,845.203,click
850.786,850.788,click
852.546,852.547,click
864.057,864.058,click
867.392,867.393,click
868.847,868.85,click
872.129,872.132,click
880.634,880.635,click
887.146,887.149,click
887.643,887.644,click
889.435,889.436,click
893.814,893.815,click
893.829,893.83,click
903.433,903.436,click
905.164,905.167,click
908.863,908.865,click
908.948,908.95,click
911.557,911.558,click
923.389,923.392,click
934.017,934.018,click
934.734,934.736,click
937.223,937.224,click
941.648,941.65,click
952.787,952.788,click
953.194,953.196,click
956.146,956.147,click
960.118,960.121,click
965.836,965.838,click
966.733,966.736,click
966.882,966.883,click
978.321,978.322,click
978.542,978.546,click
994.592,994.593,click
997.036,997.038,click
998.639,998.641,click
998.654,998.655,click
1000.163,1000.165,click
1000.51,1000.512,click
1000.538,1000.539,click
1015.679,1015.682,click
1023.13,1023.131,click
1023.612,1023.614,click
1031.638,1031.64,click
1032.36,1032.361,click
1034.215,1034.218,click
1042.816,1042.819,click
1045.387,1045.389,click
1052.731,1052.733,click
1052.849,1052.851,click
1056.389,1056.391,click
1064.694,1064.697,click
1064.969,1064.97,click
1067.995,1067.997,click
1071.639,1071.642,click
1082.187,1082.189,click
1082.422,1082.425,click
1090.539,1090.54,click
1090.563,1090.565,click
1097.383,1097.385,click
1097.826,1097.828,click
1103.739,1103.741,click
1103.754,1103.756,click
1109.48,1109.483,click
1113.3,1113.301,click
1113.413,1113.414,click
1128.385,1128.387,click
1128.589,1128.592,click
1129.156,1129.158,click
1131.134,1131.137,click
1131.331,1131.334,click
1136.143,1136.144,click
1141.152,1141.152,click
1141.566,1141.567,click
1147.298,1147.301,click
1159.09,1159.092,click
1165.762,1165.764,click
1165.895,1165.897,click
1166.45,1166.453,click
1182.136,1182.138,click
1185.639,1185.642,click
1188.339,1188.34,click
1199.937,1199.939,click
1204.723,1204.725,click
1205.288,1205.289,click
1209.907,1209.907,click
1209.921,1209.922,click
1211.414,1211.416,click
1223.885,1223.887,click
1228.416,1228.417,click
1235.099,1235.101,click
1235.227,1235.229,click
1243.026,1243.028,click
1246.942,1246.945,click
1252.042,1252.043,click
1262.316,1262.319,click
1262.33,1262.332,click
1262.653,1262.658,click
1269.638,1269.64,click
1274.856,1274.858,click
1281.536,1281.539,click
1298.013,1298.014,click
1298.858,1298.861,click
1301.065,1301.068,click
1304.743,1304.747,click
1304.879,1304.882,click
1317.327,1317.329,click
1317.342,1317.344,click
1320.47,1320.473,click
1321.346,1321.347,click
1339.869,1339.871,click
1340.873,1340.876,click
1344.772,1344.774,click
1355.617,1355.646,vocal
1359.317,1359.32,click
1368.222,1368.223,click
1377.062,1377.066,click
1379.031,1379.033,click
1391.712,1391.713,click
1398.497,1398.5,click
1403.752,1403.754,click
1412.893,1412.895,click
1413.136,1413.138,click
1415.277,1415.279,click
1418.257,1418.26,click
1423.266,1423.27,click
1424.762,1424.764,click
1424.776,1424.779,click
1438.047,1438.049,click
1439.121,1439.122,click
1450.21,1450.213,click
1457.74,1457.742,click
1462.891,1462.892,click
1477.461,1477.464,click
1477.828,1477.83,click
1484.073,1484.075,click
1484.309,1484.437,vocal
1487.049,1487.05,click
1487.538,1487.542,click
1497.231,1497.234,click
1510.862,1510.863,click
1516.507,1516.51,click
1517.558,1517.56,click
1524.143,1524.146,click
1524.318,1524.321,click
1534.227,1534.23,click
1534.243,1534.244,click
1534.89,1534.891,click
1537.513,1537.516,click
1541.722,1541.861,vocal
1557.45,1557.452,click
1558.924,1558.925,click
1560.913,1560.916,click
1561.109,1561.111,click
1567.71,1567.712,click
1577.56,1577.563,click
1582.969,1582.97,click
1598.384,1598.387,click
1598.522,1598.525,click
1607.384,1607.385,click
1618.867,1618.87,click
1626.762,1626.765,click
1631.696,1631.698,click
1636.529,1636.532,click
1639.539,1639.542,click
1644.14,1644.141,click
1644.155,1644.156,click
1647.639,1647.641,click
1656.433,1656.434,click
1660.444,1660.446,click
1660.668,1660.669,click
1674.827,1674.828,click
1681.08,1681.082,click
1681.145,1681.147,click
1681.512,1681.514,click
1689.877,1689.879,click
1702.985,1702.988,click
1706.16,1706.161,click
1713.538,1713.54,click
1724.248,1724.251,click
1733.784,1733.787,click
1745.704,1745.706,click
1748.82,1748.821,click
1749.944,1749.945,click
1753.619,1753.622,click
1756.761,1756.762,click
1757.114,1757.115,click
1757.129,1757.131,click
1767.635,1767.638,click
1782.331,1782.333,click
1783.464,1783.466,click
1789.412,1789.414,click
1793.538,1793.54,click
1808.159,1808.162,click
1808.253,1808.254,click
1811.319,1811.322,click
1818.701,1818.702,click
1830.947,1830.949,click
1833.552,1833.555,click
1834.422,1834.423,click
1834.459,1834.461,click
1846.139,1846.14,click
1855.724,1855.726,click
1860.568,1860.569,click
1872.752,1872.754,click
1872.767,1872.769,click
1873.561,1873.563,click
1873.763,1873.768,click
1878.056,1878.059,click
1886.624,1886.627,click
1886.978,1886.979,click
1900.276,1900.279,click
1913.475,1913.476,click
1914.131,1914.134,click
1922.881,1922.884,click
1928.675,1928.678,click
1940.216,1940.218,click
1943.608,1944.198,other
1945.708,1945.711,click
1946.32,1947.044,other
1948.297,1948.78,other
1949.262,1949.733,other
1950.908,1951.676,other
1955.852,1955.855,click
1963.498,1963.5,click
1967.109,1967.11,click
1967.589,1967.59,click
1968.516,1968.519,click
1969.062,1969.064,click
1970.482,1970.688,vocal
1977.47,1977.889,other
1978.417,1978.807,other
1983.378,1985.028,other
1985.486,1987.609,silence
1988.788,1989.341,other
1990.475,1990.477,click
1990.49,1990.492,click
1991.698,1991.701,click
1994.137,1994.138,click
1995.209,1995.557,other
1996.254,1996.255,click
1996.368,1996.791,other
1996.994,1996.997,click
2001.452,2002.113,other
2006.084,2006.5,other
2006.927,2007.325,other
2007.568,2018.896,other
2020.841,2020.932,vocal
2021.233,2021.234,click
2037.844,2037.847,click
2039.181,2039.182,click
2039.381,2039.383,click
2048.554,2048.555,click
2051.723,2051.724,click
2052.928,2053.371,other
2061.032,2061.036,click
2075.781,2075.782,click
2075.997,2075.998,click
2081.007,2081.009,click
2084.0,2084.002,click
2103.494,2103.495,click
2107.311,2107.313,click
2109.784,2109.785,click
2109.798,2109.8,click
2123.68,2123.682,click
2125.733,2125.735,click
2130.896,2130.899,click
2131.084,2131.086,click
2151.579,2151.58,click
2154.639,2154.642,click
2158.81,2158.811,click
2166.8,2166.802,click
2178.35,2178.352,click
2186.448,2186.449,click
2201.986,2201.989,click
2209.504,2209.507,click
2210.253,2210.256,click
2214.117,2214.119,click
2215.416,2215.418,click
2215.677,2215.679,click
2221.389,2221.39,click
2225.743,2225.745,click
2227.598,2227.6,click
2230.052,2230.053,click
2230.067,2230.068,click
2233.435,2233.438,click
2236.196,2236.199,click
2242.121,2242.122,click
2249.465,2249.468,click
2252.447,2252.449,click
2269.818,2269.821,click
2273.148,2273.151,click
2296.008,2296.011,click
2296.833,2296.835,click
2297.673,2297.674,click
2299.809,2299.812,click
2319.107,2319.109,click
2320.77,2320.773,click
2325.545,2325.546,click
2338.783,2338.786,click
2342.246,2342.247,click
2344.661,2344.664,click
2350.741,2350.743,click
2350.756,2350.758,click
2352.7,2352.701,click
2353.396,2353.398,click
2357.767,2357.861,vocal
2367.379,2367.442,vocal
2368.563,2368.566,click
2380.398,2380.4,click
2380.466,2380.533,vocal
2380.94,2380.942,click
2381.313,2381.314,click
2392.514,2392.517,click
2409.193,2409.195,click
2416.345,2416.347,click
2416.427,2416.431,click
2423.979,2423.981,click
2424.668,2424.75,vocal
2433.95,2434.034,vocal
2436.95,2436.952,click
2440.711,2440.714,click
2441.429,2441.432,click
2543.355,2545.654,silence
2548.349,2549.103,other
2559.987,2559.989,click
2562.78,2562.781,click
2562.819,2562.822,click
2568.132,2571.354,silence
2572.204,2573.734,silence
2574.038,2574.04,click
2577.133,2577.134,click
2581.908,2581.998,other
2582.233,2582.282,other
2587.581,2587.584,click
2593.984,2593.986,click
2594.368,2594.369,click
2594.384,2594.385,click
