start_s,end_s,class,mean_confidence
0.0,45.0,other,0.6517
45.0,50.0,silence,0.5434
50.0,325.0,other,0.6634
325.0,330.0,silence,0.4911
330.0,375.0,other,0.668
375.0,380.0,silence,0.5912
380.0,405.0,other,0.6347
405.0,410.0,silence,0.5132
410.0,470.0,other,0.6902
470.0,475.0,silence,0.5762
475.0,485.0,other,0.659
485.0,490.0,silence,0.4855
490.0,500.0,other,0.7001
500.0,505.0,silence,0.5636
505.0,530.0,other,0.6583
530.0,535.0,silence,0.4994
535.0,575.0,other,0.6514
575.0,580.0,silence,0.5152
580.0,680.0,other,0.6753
680.0,685.0,silence,0.5318
685.0,770.0,other,0.6651
770.0,775.0,silence,0.5903
775.0,905.0,other,0.6663
905.0,910.0,silence,0.5283
910.0,990.0,other,0.6643
990.0,995.0,silence,0.5066
995.0,1040.0,other,0.6298
1040.0,1045.0,silence,0.6093
1045.0,1050.0,other,0.7948
1050.0,1055.0,silence,0.5823
1055.0,1270.0,other,0.6502
1270.0,1280.0,silence,0.5514
1280.0,1405.0,other,0.6834
1405.0,1410.0,silence,0.5565
1410.0,1870.0,other,0.6816
1870.0,1875.0,silence,0.5315
1875.0,1895.0,other,0.6794
1895.0,1900.0,silence,0.5647
1900.0,2050.0,other,0.6838
2050.0,2055.0,silence,0.5095
2055.0,2160.0,other,0.68
2160.0,2165.0,silence,0.5047
2165.0,2280.0,other,0.6835
2280.0,2285.0,silence,0.5329
2285.0,2375.0,other,0.6846
2375.0,2380.0,silence,0.5131
2380.0,2595.0,other,0.6604
