start_s,end_s,class,confidence
0.0,5.0,silence,0.7555
5.0,10.0,silence,0.5105
10.0,15.0,other,0.6588
15.0,20.0,silence,0.8237
20.0,25.0,other,0.5788
25.0,30.0,other,0.5425
30.0,35.0,other,0.6154
35.0,40.0,silence,0.6831
40.0,45.0,silence,0.532
45.0,50.0,silence,0.5235
50.0,55.0,other,0.7381
55.0,60.0,silence,0.5409
60.0,65.0,silence,0.6497
65.0,70.0,other,0.6858
70.0,75.0,other,0.5995
75.0,80.0,silence,0.4906
80.0,85.0,silence,0.7609
85.0,90.0,silence,0.5877
90.0,95.0,other,0.6981
95.0,100.0,other,0.6202
100.0,105.0,other,0.6289
105.0,110.0,silence,0.5117
110.0,115.0,silence,0.6241
115.0,120.0,silence,0.5755
120.0,125.0,silence,0.6601
125.0,130.0,other,0.5756
130.0,135.0,other,0.5543
135.0,140.0,silence,0.561
140.0,145.0,silence,0.5219
145.0,150.0,silence,0.5928
150.0,155.0,silence,0.5707
155.0,160.0,other,0.5474
160.0,165.0,silence,0.8076
165.0,170.0,silence,0.7447
170.0,175.0,silence,0.5408
175.0,180.0,silence,0.5061
180.0,185.0,silence,0.5281
185.0,190.0,silence,0.5164
190.0,195.0,silence,0.5359
195.0,200.0,silence,0.6018
200.0,205.0,silence,0.601
205.0,210.0,other,0.5547
210.0,215.0,silence,0.4985
215.0,220.0,other,0.4765
220.0,225.0,silence,0.6854
225.0,230.0,silence,0.578
230.0,235.0,other,0.5087
235.0,240.0,other,0.5783
240.0,245.0,silence,0.6084
245.0,250.0,silence,0.5649
250.0,255.0,silence,0.7796
255.0,260.0,silence,0.824
260.0,265.0,silence,0.6448
265.0,270.0,other,0.5471
270.0,275.0,silence,0.77
275.0,280.0,other,0.5039
280.0,285.0,silence,0.5041
285.0,290.0,silence,0.6934
290.0,295.0,silence,0.6057
295.0,300.0,silence,0.6319
300.0,305.0,other,0.5456
305.0,310.0,other,0.586
310.0,315.0,silence,0.6194
315.0,320.0,silence,0.6649
320.0,325.0,other,0.5993
325.0,330.0,silence,0.7897
330.0,335.0,other,0.6847
335.0,340.0,silence,0.5741
340.0,345.0,silence,0.7084
345.0,350.0,silence,0.7012
350.0,355.0,other,0.5495
355.0,360.0,silence,0.6942
360.0,365.0,silence,0.7985
365.0,370.0,silence,0.6731
370.0,375.0,silence,0.6441
375.0,380.0,silence,0.707
380.0,385.0,silence,0.7428
385.0,390.0,silence,0.5621
390.0,395.0,silence,0.8043
395.0,400.0,silence,0.7033
400.0,405.0,silence,0.7227
405.0,410.0,silence,0.6882
410.0,415.0,other,0.7122
415.0,420.0,other,0.639
420.0,425.0,silence,0.5841
425.0,430.0,silence,0.5309
430.0,435.0,silence,0.6286
435.0,440.0,other,0.5318
440.0,445.0,silence,0.5284
445.0,450.0,other,0.5347
450.0,455.0,silence,0.7053
455.0,460.0,other,0.6262
460.0,465.0,other,0.7098
465.0,470.0,other,0.5114
470.0,475.0,silence,0.6812
475.0,480.0,other,0.5515
480.0,485.0,silence,0.58
485.0,490.0,silence,0.6037
490.0,495.0,silence,0.7887
495.0,500.0,other,0.6032
500.0,505.0,silence,0.562
505.0,510.0,silence,0.7331
510.0,515.0,silence,0.6453
515.0,520.0,silence,0.682
520.0,525.0,other,0.6266
525.0,530.0,silence,0.5295
530.0,535.0,silence,0.7823
