start_s,end_s,class,mean_confidence
0.0,1180.0,silence,0.8544
1180.0,1185.0,other,0.5953
1185.0,1370.0,silence,0.836
1370.0,1375.0,other,0.5488
1375.0,1495.0,silence,0.8102
1495.0,1500.0,other,0.5143
1500.0,1610.0,silence,0.7933
1610.0,1615.0,other,0.8753
1615.0,1695.0,silence,0.8231
1695.0,1700.0,other,0.8072
1700.0,1740.0,silence,0.7747
1740.0,1745.0,other,0.5949
1745.0,1780.0,silence,0.695
1780.0,1785.0,other,0.5259
1785.0,1815.0,silence,0.6844
1815.0,1855.0,other,0.8034
1855.0,1935.0,silence,0.7972
1935.0,1940.0,other,0.5375
1940.0,2045.0,silence,0.7714
2045.0,2050.0,other,0.5898
2050.0,2595.0,silence,0.7936
