start_s,end_s,class,confidence
0.0,5.0,silence,0.9796
5.0,10.0,silence,0.9085
10.0,15.0,silence,0.8681
15.0,20.0,silence,0.9488
20.0,25.0,silence,0.8071
25.0,30.0,silence,0.8123
30.0,35.0,silence,0.9127
35.0,40.0,silence,0.8478
40.0,45.0,silence,0.8596
45.0,50.0,silence,0.9183
50.0,55.0,silence,0.7597
55.0,60.0,silence,0.8778
60.0,65.0,silence,0.8987
65.0,70.0,silence,0.8178
70.0,75.0,silence,0.7929
75.0,80.0,silence,0.8566
80.0,85.0,silence,0.899
85.0,90.0,silence,0.6886
90.0,95.0,silence,0.6969
95.0,100.0,silence,0.6046
100.0,105.0,silence,0.896
105.0,110.0,silence,0.8528
110.0,115.0,silence,0.8157
115.0,120.0,silence,0.8952
120.0,125.0,silence,0.9377
125.0,130.0,silence,0.9029
130.0,135.0,silence,0.6868
135.0,140.0,silence,0.7635
140.0,145.0,silence,0.9498
145.0,150.0,silence,0.8238
150.0,155.0,silence,0.8776
155.0,160.0,silence,0.719
160.0,165.0,silence,0.9232
165.0,170.0,silence,0.9454
170.0,175.0,silence,0.8003
175.0,180.0,silence,0.7238
180.0,185.0,silence,0.7212
185.0,190.0,silence,0.919
190.0,195.0,silence,0.939
195.0,200.0,silence,0.8187
200.0,205.0,silence,0.7386
205.0,210.0,silence,0.8865
210.0,215.0,silence,0.9409
215.0,220.0,silence,0.7292
220.0,225.0,silence,0.7546
225.0,230.0,silence,0.7766
230.0,235.0,silence,0.8
235.0,240.0,silence,0.8894
240.0,245.0,silence,0.7956
245.0,250.0,silence,0.9062
250.0,255.0,silence,0.9047
255.0,260.0,silence,0.8408
260.0,265.0,silence,0.8708
265.0,270.0,silence,0.8741
270.0,275.0,silence,0.8805
275.0,280.0,silence,0.917
280.0,285.0,silence,0.8977
285.0,290.0,silence,0.8588
290.0,295.0,silence,0.8034
295.0,300.0,silence,0.5027
300.0,305.0,silence,0.8919
305.0,310.0,silence,0.7203
310.0,315.0,silence,0.8627
315.0,320.0,silence,0.8681
320.0,325.0,silence,0.7774
325.0,330.0,silence,0.8255
330.0,335.0,silence,0.7918
335.0,340.0,silence,0.883
340.0,345.0,silence,0.9063
345.0,350.0,silence,0.8988
350.0,355.0,silence,0.6678
355.0,360.0,silence,0.9147
360.0,365.0,silence,0.7514
365.0,370.0,silence,0.7847
370.0,375.0,silence,0.865
375.0,380.0,silence,0.8738
380.0,385.0,silence,0.946
385.0,390.0,silence,0.8411
390.0,395.0,silence,0.8675
395.0,400.0,silence,0.8238
400.0,405.0,silence,0.8783
405.0,410.0,silence,0.8623
410.0,415.0,silence,0.8195
415.0,420.0,silence,0.6985
420.0,425.0,silence,0.75
425.0,430.0,silence,0.8354
430.0,435.0,silence,0.7604
435.0,440.0,silence,0.8174
440.0,445.0,silence,0.8546
445.0,450.0,silence,0.8751
450.0,455.0,silence,0.8437
455.0,460.0,silence,0.7176
460.0,465.0,silence,0.7158
465.0,470.0,silence,0.903
470.0,475.0,silence,0.9016
475.0,480.0,silence,0.8909
480.0,485.0,silence,0.8631
485.0,490.0,silence,0.8813
490.0,495.0,silence,0.9173
495.0,500.0,silence,0.8066
500.0,505.0,silence,0.6618
505.0,510.0,silence,0.8652
510.0,515.0,silence,0.9671
515.0,520.0,silence,0.921
520.0,525.0,silence,0.8662
525.0,530.0,silence,0.9145
530.0,535.0,silence,0.9477
535.0,540.0,silence,0.9042
540.0,545.0,silence,0.7551
545.0,550.0,silence,0.7073
550.0,555.0,silence,0.9021
555.0,560.0,silence,0.9434
560.0,565.0,silence,0.9033
565.0,570.0,silence,0.9002
570.0,575.0,silence,0.9074
575.0,580.0,silence,0.7943
580.0,585.0,silence,0.9125
585.0,590.0,silence,0.8518
590.0,595.0,silence,0.9263
595.0,600.0,silence,0.8853
600.0,605.0,silence,0.8771
605.0,610.0,silence,0.8815
610.0,615.0,silence,0.8938
615.0,620.0,silence,0.8483
620.0,625.0,silence,0.9336
625.0,630.0,silence,0.8143
630.0,635.0,silence,0.8318
635.0,640.0,silence,0.9288
640.0,645.0,silence,0.9421
645.0,650.0,silence,0.8459
650.0,655.0,silence,0.8718
655.0,660.0,silence,0.7722
660.0,665.0,silence,0.9082
665.0,670.0,silence,0.8124
670.0,675.0,silence,0.8751
675.0,680.0,silence,0.9251
680.0,685.0,silence,0.9243
685.0,690.0,silence,0.8612
690.0,695.0,silence,0.9523
695.0,700.0,silence,0.6138
700.0,705.0,silence,0.8454
705.0,710.0,silence,0.8171
710.0,715.0,silence,0.8898
715.0,720.0,silence,0.7751
720.0,725.0,silence,0.6734
725.0,730.0,silence,0.9158
730.0,735.0,silence,0.9169
735.0,740.0,silence,0.8148
740.0,745.0,silence,0.8872
745.0,750.0,silence,0.8794
750.0,755.0,silence,0.9059
755.0,760.0,silence,0.8669
760.0,765.0,silence,0.879
765.0,770.0,silence,0.8974
770.0,775.0,silence,0.8868
775.0,780.0,silence,0.8711
780.0,785.0,silence,0.9141
785.0,790.0,silence,0.9424
790.0,795.0,silence,0.9102
795.0,800.0,silence,0.9267
800.0,805.0,silence,0.8983
805.0,810.0,silence,0.8022
810.0,815.0,silence,0.8718
815.0,820.0,silence,0.9368
820.0,825.0,silence,0.9522
825.0,830.0,silence,0.8445
830.0,835.0,silence,0.7871
835.0,840.0,silence,0.8513
840.0,845.0,silence,0.8797
845.0,850.0,silence,0.9503
850.0,855.0,silence,0.8517
855.0,860.0,silence,0.7425
860.0,865.0,silence,0.929
865.0,870.0,silence,0.9162
870.0,875.0,silence,0.9113
875.0,880.0,silence,0.8734
880.0,885.0,silence,0.8814
885.0,890.0,silence,0.871
890.0,895.0,silence,0.9187
895.0,900.0,silence,0.911
900.0,905.0,silence,0.9386
905.0,910.0,silence,0.9446
910.0,915.0,silence,0.891
915.0,920.0,silence,0.886
920.0,925.0,silence,0.8971
925.0,930.0,silence,0.9162
930.0,935.0,silence,0.8171
935.0,940.0,silence,0.9201
940.0,945.0,silence,0.9356
945.0,950.0,silence,0.5946
950.0,955.0,silence,0.8852
955.0,960.0,silence,0.9705
960.0,965.0,silence,0.9561
965.0,970.0,silence,0.8982
970.0,975.0,silence,0.7542
975.0,980.0,silence,0.9192
980.0,985.0,silence,0.8866
985.0,990.0,silence,0.8425
990.0,995.0,silence,0.7775
995.0,1000.0,silence,0.947
1000.0,1005.0,silence,0.772
1005.0,1010.0,silence,0.8727
1010.0,1015.0,silence,0.7513
1015.0,1020.0,silence,0.9026
1020.0,1025.0,silence,0.8403
1025.0,1030.0,silence,0.9258
1030.0,1035.0,silence,0.949
1035.0,1040.0,silence,0.836
1040.0,1045.0,silence,0.8679
1045.0,1050.0,silence,0.9023
1050.0,1055.0,silence,0.9155
1055.0,1060.0,silence,0.8656
1060.0,1065.0,silence,0.7545
1065.0,1070.0,silence,0.909
1070.0,1075.0,silence,0.8213
1075.0,1080.0,silence,0.9137
1080.0,1085.0,silence,0.8626
1085.0,1090.0,silence,0.7519
1090.0,1095.0,silence,0.7524
1095.0,1100.0,silence,0.8636
1100.0,1105.0,silence,0.8737
1105.0,1110.0,silence,0.93
1110.0,1115.0,silence,0.8287
1115.0,1120.0,silence,0.8501
1120.0,1125.0,silence,0.9315
1125.0,1130.0,silence,0.8908
1130.0,1135.0,silence,0.9582
1135.0,1140.0,silence,0.8889
1140.0,1145.0,silence,0.8487
1145.0,1150.0,silence,0.9174
1150.0,1155.0,silence,0.8658
1155.0,1160.0,silence,0.6577
1160.0,1165.0,silence,0.9233
1165.0,1170.0,silence,0.8685
1170.0,1175.0,silence,0.7309
1175.0,1180.0,silence,0.7376
1180.0,1185.0,other,0.5953
1185.0,1190.0,silence,0.8706
1190.0,1195.0,silence,0.8853
1195.0,1200.0,silence,0.6235
1200.0,1205.0,silence,0.8217
1205.0,1210.0,silence,0.9257
1210.0,1215.0,silence,0.8809
1215.0,1220.0,silence,0.8882
1220.0,1225.0,silence,0.7522
1225.0,1230.0,silence,0.8688
1230.0,1235.0,silence,0.882
1235.0,1240.0,silence,0.91
1240.0,1245.0,silence,0.9276
1245.0,1250.0,silence,0.9157
1250.0,1255.0,silence,0.8534
1255.0,1260.0,silence,0.913
1260.0,1265.0,silence,0.8233
1265.0,1270.0,silence,0.8363
1270.0,1275.0,silence,0.8537
1275.0,1280.0,silence,0.8901
1280.0,1285.0,silence,0.5632
1285.0,1290.0,silence,0.9428
1290.0,1295.0,silence,0.8149
1295.0,1300.0,silence,0.9444
1300.0,1305.0,silence,0.9029
1305.0,1310.0,silence,0.9222
1310.0,1315.0,silence,0.5758
1315.0,1320.0,silence,0.6357
1320.0,1325.0,silence,0.8939
1325.0,1330.0,silence,0.7896
1330.0,1335.0,silence,0.9023
1335.0,1340.0,silence,0.83
1340.0,1345.0,silence,0.7641
1345.0,1350.0,silence,0.6931
1350.0,1355.0,silence,0.9131
1355.0,1360.0,silence,0.8769
1360.0,1365.0,silence,0.9236
1365.0,1370.0,silence,0.7221
1370.0,1375.0,other,0.5488
1375.0,1380.0,silence,0.9064
1380.0,1385.0,silence,0.8435
1385.0,1390.0,silence,0.8886
1390.0,1395.0,silence,0.7681
1395.0,1400.0,silence,0.8338
1400.0,1405.0,silence,0.8453
1405.0,1410.0,silence,0.8825
1410.0,1415.0,silence,0.76
1415.0,1420.0,silence,0.7211
1420.0,1425.0,silence,0.7734
1425.0,1430.0,silence,0.9199
1430.0,1435.0,silence,0.8136
1435.0,1440.0,silence,0.8716
1440.0,1445.0,silence,0.7914
1445.0,1450.0,silence,0.8051
1450.0,1455.0,silence,0.8444
1455.0,1460.0,silence,0.8195
1460.0,1465.0,silence,0.8092
1465.0,1470.0,silence,0.7459
1470.0,1475.0,silence,0.8154
1475.0,1480.0,silence,0.8958
1480.0,1485.0,silence,0.7777
1485.0,1490.0,silence,0.775
1490.0,1495.0,silence,0.5386
1495.0,1500.0,other,0.5143
1500.0,1505.0,silence,0.8755
1505.0,1510.0,silence,0.6288
1510.0,1515.0,silence,0.5676
1515.0,1520.0,silence,0.7683
1520.0,1525.0,silence,0.8721
1525.0,1530.0,silence,0.8584
1530.0,1535.0,silence,0.6804
1535.0,1540.0,silence,0.8424
1540.0,1545.0,silence,0.82
1545.0,1550.0,silence,0.9443
1550.0,1555.0,silence,0.8947
1555.0,1560.0,silence,0.777
1560.0,1565.0,silence,0.7136
1565.0,1570.0,silence,0.6049
1570.0,1575.0,silence,0.794
1575.0,1580.0,silence,0.7908
1580.0,1585.0,silence,0.7227
1585.0,1590.0,silence,0.8473
1590.0,1595.0,silence,0.9378
1595.0,1600.0,silence,0.9372
1600.0,1605.0,silence,0.8869
1605.0,1610.0,silence,0.6885
1610.0,1615.0,other,0.8753
1615.0,1620.0,silence,0.8828
1620.0,1625.0,silence,0.777
1625.0,1630.0,silence,0.7582
1630.0,1635.0,silence,0.8974
1635.0,1640.0,silence,0.9093
1640.0,1645.0,silence,0.8761
1645.0,1650.0,silence,0.9121
1650.0,1655.0,silence,0.8288
1655.0,1660.0,silence,0.96
1660.0,1665.0,silence,0.8705
1665.0,1670.0,silence,0.6927
1670.0,1675.0,silence,0.6188
1675.0,1680.0,silence,0.7274
1680.0,1685.0,silence,0.7863
1685.0,1690.0,silence,0.9012
1690.0,1695.0,silence,0.7706
1695.0,1700.0,other,0.8072
1700.0,1705.0,silence,0.7897
1705.0,1710.0,silence,0.852
1710.0,1715.0,silence,0.7071
1715.0,1720.0,silence,0.5957
1720.0,1725.0,silence,0.8316
1725.0,1730.0,silence,0.7516
1730.0,1735.0,silence,0.7583
1735.0,1740.0,silence,0.9115
1740.0,1745.0,other,0.5949
1745.0,1750.0,silence,0.708
1750.0,1755.0,silence,0.4958
1755.0,1760.0,silence,0.795
1760.0,1765.0,silence,0.7572
1765.0,1770.0,silence,0.8082
1770.0,1775.0,silence,0.593
1775.0,1780.0,silence,0.7075
1780.0,1785.0,other,0.5259
1785.0,1790.0,silence,0.7934
