rank,start_s,end_s,duration_s,similarity
1,512.74,512.785,0.045,0.9453
2,899.585,899.63,0.045,0.9444
3,888.56,888.6,0.04,0.9429
4,648.74,648.785,0.045,0.942
5,569.455,569.5,0.045,0.9417
6,631.21,631.255,0.045,0.941
7,545.905,545.95,0.045,0.9406
8,106.815,106.86,0.045,0.9386
9,249.615,249.66,0.045,0.9379
10,237.875,237.9,0.025,0.9377
11,283.875,283.92,0.045,0.9374
12,668.485,668.53,0.045,0.9366
13,242.43,242.475,0.045,0.9364
14,245.265,245.31,0.045,0.9361
15,99.17,99.215,0.045,0.9359
16,0.545,0.57,0.025,0.9347
17,899.325,899.37,0.045,0.9344
18,687.98,688.025,0.045,0.9341
19,657.51,657.555,0.045,0.9341
20,738.27,738.315,0.045,0.934
21,700.53,700.575,0.045,0.9336
22,531.35,531.395,0.045,0.9336
23,46.215,46.26,0.045,0.9332
24,692.235,692.28,0.045,0.933
25,95.285,95.325,0.04,0.9329
26,679.885,679.93,0.045,0.9328
27,525.9,525.945,0.045,0.9327
28,516.375,516.42,0.045,0.9326
29,914.27,914.315,0.045,0.9326
30,158.875,158.92,0.045,0.9326
31,720.235,720.28,0.045,0.9324
32,506.005,506.05,0.045,0.9323
33,507.345,507.39,0.045,0.9321
34,173.5,173.545,0.045,0.9319
35,91.505,91.55,0.045,0.9316
36,127.36,127.405,0.045,0.9316
37,150.385,150.43,0.045,0.9316
38,894.99,895.015,0.025,0.9316
39,937.68,937.705,0.025,0.9314
40,646.56,646.605,0.045,0.931
41,660.84,660.885,0.045,0.9309
42,548.74,548.785,0.045,0.9307
43,54.955,55.0,0.045,0.9307
44,399.41,399.455,0.045,0.9306
45,592.105,592.15,0.045,0.9306
46,140.715,140.76,0.045,0.9305
47,141.035,141.08,0.045,0.9303
48,245.085,245.13,0.045,0.93
49,637.485,637.53,0.045,0.9299
50,540.095,540.14,0.045,0.9298
51,714.61,714.645,0.035,0.9297
52,657.04,657.08,0.04,0.9295
53,86.07,86.115,0.045,0.9295
54,588.835,588.875,0.04,0.9294
55,0.775,0.79,0.015,0.9292
56,26.01,26.055,0.045,0.9292
57,110.95,110.995,0.045,0.9292
58,631.87,631.915,0.045,0.929
59,65.25,65.295,0.045,0.9289
60,503.225,503.27,0.045,0.9288
61,923.64,923.665,0.025,0.9288
62,713.94,713.985,0.045,0.9288
63,592.52,592.58,0.06,0.9287
64,928.355,928.4,0.045,0.9285
65,59.175,59.22,0.045,0.9284
66,696.21,696.255,0.045,0.9282
67,591.665,591.71,0.045,0.928
68,487.04,487.07,0.03,0.928
69,249.74,249.77,0.03,0.928
70,253.89,253.935,0.045,0.9279
71,101.66,101.705,0.045,0.9279
72,174.27,174.315,0.045,0.9276
73,88.985,89.03,0.045,0.9275
74,919.525,919.57,0.045,0.9275
75,81.18,81.225,0.045,0.9274
76,181.87,181.915,0.045,0.9273
77,518.36,518.405,0.045,0.9273
78,656.61,656.655,0.045,0.9272
79,259.28,259.325,0.045,0.9272
80,228.46,228.505,0.045,0.9271
81,1157.985,1158.025,0.04,0.9271
82,591.265,591.305,0.04,0.927
83,284.45,284.465,0.015,0.927
84,685.42,685.445,0.025,0.927
85,112.31,112.335,0.025,0.9269
86,282.885,282.925,0.04,0.9269
87,655.73,655.775,0.045,0.9268
88,684.92,684.965,0.045,0.9267
89,547.86,547.875,0.015,0.9266
90,985.87,985.915,0.045,0.9264
91,686.98,687.025,0.045,0.9263
92,572.69,572.735,0.045,0.9262
93,724.63,724.675,0.045,0.9262
94,1193.415,1193.445,0.03,0.926
95,917.765,917.81,0.045,0.9259
96,90.845,90.89,0.045,0.9258
97,956.76,956.78,0.02,0.9257
98,261.73,261.75,0.02,0.9257
99,294.66,294.685,0.025,0.9255
100,130.665,130.71,0.045,0.9253
101,511.88,511.905,0.025,0.9253
102,134.71,134.755,0.045,0.9253
103,86.38,86.41,0.03,0.9252
104,927.855,927.9,0.045,0.9252
105,661.82,661.865,0.045,0.9252
106,392.365,392.41,0.045,0.9251
107,29.52,29.55,0.03,0.9251
108,247.6,247.625,0.025,0.925
109,265.9,265.925,0.025,0.925
110,122.235,122.28,0.045,0.9249
111,560.245,560.29,0.045,0.9248
112,104.875,104.92,0.045,0.9248
113,663.735,663.78,0.045,0.9248
114,27.675,27.715,0.04,0.9247
115,125.75,125.815,0.065,0.9247
116,197.635,197.68,0.045,0.9247
117,102.32,102.345,0.025,0.9247
118,485.755,485.775,0.02,0.9247
119,51.475,51.52,0.045,0.9247
120,961.38,961.42,0.04,0.9245
121,533.685,533.71,0.025,0.9244
122,470.09,470.135,0.045,0.9244
123,593.83,593.855,0.025,0.9244
124,589.195,589.255,0.06,0.9243
125,516.615,516.66,0.045,0.9242
126,486.35,486.375,0.025,0.9242
127,514.555,514.6,0.045,0.9241
128,703.405,703.45,0.045,0.9241
129,156.595,156.64,0.045,0.9241
130,499.07,499.115,0.045,0.924
131,510.86,510.905,0.045,0.924
132,514.815,514.86,0.045,0.924
133,505.265,505.31,0.045,0.9239
134,74.1,74.145,0.045,0.9238
135,503.665,503.71,0.045,0.9237
136,1143.225,1143.265,0.04,0.9237
137,960.34,960.385,0.045,0.9236
138,686.48,686.545,0.065,0.9236
139,64.69,64.735,0.045,0.9236
140,56.595,56.64,0.045,0.9235
141,1182.65,1182.695,0.045,0.9234
142,132.02,132.04,0.02,0.9234
143,896.21,896.255,0.045,0.9234
144,714.14,714.165,0.025,0.9233
145,0.3,0.32,0.02,0.9232
146,744.56,744.625,0.065,0.9232
147,779.625,779.69,0.065,0.9231
148,100.86,100.905,0.045,0.9231
149,149.915,149.98,0.065,0.923
150,922.7,922.725,0.025,0.923
151,172.725,172.77,0.045,0.9228
152,81.81,81.835,0.025,0.9227
153,131.145,131.17,0.025,0.9227
154,676.85,676.895,0.045,0.9227
155,629.73,629.755,0.025,0.9227
156,928.455,928.5,0.045,0.9226
157,503.805,503.85,0.045,0.9226
158,660.6,660.645,0.045,0.9225
159,697.03,697.075,0.045,0.9225
160,121.575,121.6,0.025,0.9224
161,236.865,236.91,0.045,0.9222
162,593.37,593.41,0.04,0.9222
163,214.315,214.36,0.045,0.9222
164,94.205,94.23,0.025,0.9222
165,241.62,241.705,0.085,0.9221
166,547.6,547.625,0.025,0.9221
167,174.965,175.005,0.04,0.9218
168,470.91,470.935,0.025,0.9218
169,110.03,110.075,0.045,0.9218
170,531.75,531.795,0.045,0.9217
171,206.655,206.7,0.045,0.9216
172,112.21,112.255,0.045,0.9216
173,489.405,489.425,0.02,0.9214
174,990.06,990.08,0.02,0.9214
175,691.735,691.78,0.045,0.9213
176,655.61,655.655,0.045,0.9213
177,681.965,682.01,0.045,0.9212
178,646.66,646.705,0.045,0.9212
179,1194.77,1194.82,0.05,0.9212
180,650.87,650.88,0.01,0.9211
181,665.77,665.815,0.045,0.9211
182,1157.39,1157.425,0.035,0.9209
183,48.095,48.12,0.025,0.9209
184,87.525,87.55,0.025,0.9206
185,60.415,60.44,0.025,0.9204
186,924.24,924.285,0.045,0.9204
187,82.15,82.195,0.045,0.9204
188,1021.875,1021.92,0.045,0.9202
189,926.935,927.0,0.065,0.9202
190,652.235,652.26,0.025,0.92
191,54.475,54.52,0.045,0.9199
192,691.315,691.38,0.065,0.9199
193,485.085,485.115,0.03,0.9199
194,650.17,650.205,0.035,0.9198
195,654.435,654.475,0.04,0.9198
196,293.155,293.175,0.02,0.9198
197,132.94,132.985,0.045,0.9197
198,895.59,895.615,0.025,0.9196
199,639.845,639.87,0.025,0.9195
200,441.59,441.61,0.02,0.9195
201,157.635,157.66,0.025,0.9195
202,111.37,111.415,0.045,0.9192
203,590.415,590.45,0.035,0.9192
204,106.235,106.28,0.045,0.9191
205,3.645,3.69,0.045,0.9191
